workforce,staff_N,year,scenario,oncosts,structure,cost_per_head,total_cost,exeter_saving_per_yr,extra_posts_at_exeter_avg
E&R + Education-only,1155,2026-27(+2%),bottom,salary only,Durham,51839,59874043,4357338,78.4
E&R + Education-only,1155,2026-27(+2%),bottom,salary only,Sheffield,50559,58395864,5835517,104.9
E&R + Education-only,1155,2026-27(+2%),bottom,incl,Exeter,71545,82634545,0,0.0
E&R + Education-only,1155,2026-27(+2%),bottom,incl,Bristol,68942,79628345,3006201,42.0
E&R + Education-only,1155,2026-27(+2%),bottom,incl,Leeds,70876,81861257,773288,10.8
E&R + Education-only,1155,2026-27(+2%),bottom,incl,Cardiff,69179,79901686,2732860,38.2
E&R + Education-only,1155,2026-27(+2%),bottom,incl,Birmingham,64996,75070154,7564391,105.7
E&R + Education-only,1155,2026-27(+2%),bottom,incl,York,65537,75695416,6939129,97.0
E&R + Education-only,1155,2026-27(+2%),bottom,incl,Warwick,65870,76079379,6555167,91.6
E&R + Education-only,1155,2026-27(+2%),bottom,incl,Nottingham,66382,76670969,5963577,83.4
E&R + Education-only,1155,2026-27(+2%),bottom,incl,Southampton,66615,76940639,5693906,79.6
E&R + Education-only,1155,2026-27(+2%),bottom,incl,Liverpool,69082,79789166,2845379,39.8
E&R + Education-only,1155,2026-27(+2%),bottom,incl,Durham,66641,76970006,5664539,79.2
E&R + Education-only,1155,2026-27(+2%),bottom,incl,Sheffield,64977,75048374,7586172,106.0
E&R + Education-only,1155,2026-27(+2%),even,salary only,Exeter,56336,65067541,0,0.0
E&R + Education-only,1155,2026-27(+2%),even,salary only,Bristol,54779,63269234,1798307,31.9
E&R + Education-only,1155,2026-27(+2%),even,salary only,Leeds,56665,65448342,-380801,-6.8
E&R + Education-only,1155,2026-27(+2%),even,salary only,Cardiff,54667,63140484,1927057,34.2
E&R + Education-only,1155,2026-27(+2%),even,salary only,Birmingham,52126,60205248,4862294,86.3
E&R + Education-only,1155,2026-27(+2%),even,salary only,York,52536,60679101,4388440,77.9
E&R + Education-only,1155,2026-27(+2%),even,salary only,Warwick,53140,61376562,3690979,65.5
E&R + Education-only,1155,2026-27(+2%),even,salary only,Nottingham,53768,62102469,2965072,52.6
E&R + Education-only,1155,2026-27(+2%),even,salary only,Southampton,53799,62138266,2929275,52.0
E&R + Education-only,1155,2026-27(+2%),even,salary only,Liverpool,55541,64150086,917455,16.3
E&R + Education-only,1155,2026-27(+2%),even,salary only,Durham,53188,61431951,3635590,64.5
E&R + Education-only,1155,2026-27(+2%),even,salary only,Sheffield,52097,60171805,4895736,86.9
E&R + Education-only,1155,2026-27(+2%),even,incl,Exeter,72486,83721553,0,0.0
E&R + Education-only,1155,2026-27(+2%),even,incl,Bristol,70462,81383754,2337799,32.3
E&R + Education-only,1155,2026-27(+2%),even,incl,Leeds,72915,84216595,-495041,-6.8
E&R + Education-only,1155,2026-27(+2%),even,incl,Cardiff,70317,81216379,2505175,34.6
E&R + Education-only,1155,2026-27(+2%),even,incl,Birmingham,67013,77400572,6320982,87.2
E&R + Education-only,1155,2026-27(+2%),even,incl,York,67547,78016581,5704972,78.7
E&R + Education-only,1155,2026-27(+2%),even,incl,Warwick,68332,78923281,4798273,66.2
E&R + Education-only,1155,2026-27(+2%),even,incl,Nottingham,69149,79866960,3854594,53.2
E&R + Education-only,1155,2026-27(+2%),even,incl,Southampton,69189,79913495,3808058,52.5
E&R + Education-only,1155,2026-27(+2%),even,incl,Liverpool,71454,82528862,1192691,16.5
E&R + Education-only,1155,2026-27(+2%),even,incl,Durham,68394,78995286,4726267,65.2
E&R + Education-only,1155,2026-27(+2%),even,incl,Sheffield,66976,77357097,6364457,87.8
E&R + Education-only,1155,2026-27(+2%),top,salary only,Exeter,57059,65903701,0,0.0
E&R + Education-only,1155,2026-27(+2%),top,salary only,Bristol,55948,64619549,1284152,22.5
E&R + Education-only,1155,2026-27(+2%),top,salary only,Leeds,58234,67260140,-1356439,-23.8
E&R + Education-only,1155,2026-27(+2%),top,salary only,Cardiff,55543,64151786,1751915,30.7
E&R + Education-only,1155,2026-27(+2%),top,salary only,Birmingham,53678,61997877,3905825,68.5
E&R + Education-only,1155,2026-27(+2%),top,salary only,York,54082,62464612,3439089,60.3
E&R + Education-only,1155,2026-27(+2%),top,salary only,Warwick,55034,63564179,2339522,41.0
E&R + Education-only,1155,2026-27(+2%),top,salary only,Nottingham,55897,64560923,1342778,23.5
E&R + Education-only,1155,2026-27(+2%),top,salary only,Southampton,55779,64425078,1478623,25.9
E&R + Education-only,1155,2026-27(+2%),top,salary only,Liverpool,57366,66257545,-353844,-6.2
E&R + Education-only,1155,2026-27(+2%),top,salary only,Durham,54537,62989859,2913842,51.1
E&R + Education-only,1155,2026-27(+2%),top,salary only,Sheffield,53634,61947746,3955955,69.3
E&R + Education-only,1155,2026-27(+2%),top,incl,Exeter,73427,84808562,0,0.0
E&R + Education-only,1155,2026-27(+2%),top,incl,Bristol,71982,83139164,1669398,22.7
E&R + Education-only,1155,2026-27(+2%),top,incl,Leeds,74954,86571932,-1763370,-24.0
E&R + Education-only,1155,2026-27(+2%),top,incl,Cardiff,71455,82531072,2277490,31.0
E&R + Education-only,1155,2026-27(+2%),top,incl,Birmingham,69031,79730990,5077572,69.2
E&R + Education-only,1155,2026-27(+2%),top,incl,York,69556,80337746,4470816,60.9
E&R + Education-only,1155,2026-27(+2%),top,incl,Warwick,70794,81767183,3041379,41.4
E&R + Education-only,1155,2026-27(+2%),top,incl,Nottingham,71916,83062950,1745611,23.8
E&R + Education-only,1155,2026-27(+2%),top,incl,Southampton,71763,82886351,1922210,26.2
E&R + Education-only,1155,2026-27(+2%),top,incl,Liverpool,73826,85268558,-459997,-6.3
E&R + Education-only,1155,2026-27(+2%),top,incl,Durham,70148,81020566,3787995,51.6
E&R + Education-only,1155,2026-27(+2%),top,incl,Sheffield,68975,79665820,5142742,70.0
